eng,spa,source,otp
Mandarin; the Mandarin language,,be-north the-Chinese-macrolanguage,fila'cuntilip
Democratic Republic of the Congo {GENITIVE:Congolese; from Democratic Republic of the Congo|PEOPLE:Congolese; the people of the Democratic Republic of the Congo},,Kinshasa the-Kingdom-of-Kongo,'kincasa'konotec
Republic of the Congo {GENITIVE:Congolese; from Republic of the Congo|PEOPLE:Congolese; the people of the Republic of the Congo},,Brazzaville the-Kingdom-of-Kongo,'pahasafil'konotec
Northern Cyprus; Turkish Republic of Northern Cyprus {GENITIVE:North Cypriot; from Northern Cyprus|PEOPLE:Northern Cypriot; the Northern Cypriot people},,be-north Cyprus,fila'kiplostec
Scots Gaelic; the Scots Gaelic language,,Scot Goidelic,'sokot'kealtilip
Equatorial Guinea; the Republic of Equatorial Guinea {GENITIVE:Equatorial Guinean; from Equatorial Guinea|PEOPLE:Equatorial Guinean; Equatoguinean; the Equatorial Guinean people},,equator Guinea-(region),nefilalum'kine
Guinea-Bissau; the Republic of Guinea-Bissau {GENITIVE:Bissau-Guinean; from Guinea-Bissau|PEOPLE:Bissau-Guinean; the Bissau-Guinean people},,Bissau Guinea-(region),'pisaw'kine
Guinea; Guinea-Conakry; the Republic of Guinea {PEOPLE:Guinean; the Guinean people},,Conakry Guinea-(region),'konakhi'kine
Hindustani; the Hindustani language {PEOPLE:Hindustani speakers},,India Pakistan language,'hintu'pakistantilip
Northern Irish; the Northern Irish people {GENITIVE:Northern Irish; from Northern Ireland|COUNTRY:Northern Ireland},,be-north Ireland,fila'elyatec
North Korea; the People’s Democratic Republic of Korea {GENITIVE:North Korean; from North Korea|PEOPLE:North Korean; the North Korean people},,be-north Korea,fila'cosawn
South Korea; the Democratic Republic of Korea {GENITIVE:South Korean; from South Korea|PEOPLE:South Korean; the South Korean people},,be-south Korea,suta'cosawn
North Macedonia; the Former Yugoslav Republic of Macedonia {GENITIVE:North Macedonian; from North Macedonia},,be-north Macedon,fila'maketon
Southern Min; Minnan; Hokkien-Taiwanese; the Southern Min languages,,be-south Min-Chinese,suta'hokyentilip
South Ossetian; Alanian; the South Ossetian people {GENITIVE:South Ossetian; of South Ossetia|COUNTRY:South Ossetia; Alania},,be-south Ossetian,suta'alon
São Tomé Island {GENITIVE:São Toméan; Santomean},,São-Tomé landmass,'sawntumetayl
South Sudan {GENITIVE:South Sudanese; from South Sudan|PEOPLE:South Sudanese; the South Sudanese people},,be-south Sudan,suta'assutan
East Timor; Timor-Leste; Democratic Republic of Timor-Leste {PEOPLE:Timorese; East Timorese; Maubere; the East Timorese people},,be-east Timor-(landmass),este'timol
Ugandan; the Ugandan people {GENITIVE:Ugandan; from Uganda|COUNTRY:Uganda},,be-big Ganda,mota'kanta
New York City; New York,,be-young York,hwe'yok
Sol; The Sun,,person sun,wonsun
Luna; The Moon,,person moon,wonfik
Earth {GENITIVE:global; earthling; terran},,person ground,wonpum
Mars {GENITIVE:Martian},,be-red ground,lucipum
Mercury {GENITIVE:Mercurian},,be-fast ground,yalapum
Neptune {GENITIVE:Neptunian},,ocean ground,lawtpum
Jupiter {GENITIVE:Jovian},,be-big ground,motapum
Saturn {GENITIVE:Saturnic},,circle ground,siklalonpum
Uranus {GENITIVE:Uranic},,sky ground,mippum
Venus {GENITIVE:Venusian},,be-loud ground,fuhapum
Milky Way {GENITIVE:Milky},,person galaxy,won'kalasias
sweet potato,,America yam,'amelikatulsetupel
yam,,Eurasia yam,'yewlasiatulsetupel
Monday,,1 day,kansunkwelwel
Tuesday,,2 day,tossunkwelwel
Wednesday,,3 day,sansunkwelwel
Thursday,,4 day,folsunkwelwel
Friday,,5 day,limsunkwelwel
Saturday,,6 day,cahsunkwelwel
Sunday,,7 day,pitsunkwelwel
Buddhism {GENITIVE:Buddhist; of Buddhism|PEOPLE:Buddhist; followers of Buddha},,Buddha-(title) religion,'putafitilip
Caodaism; Đại Đạo Tam Kỳ Phổ Độ; the Cao Đài religion {GENITIVE:Caodaist; of Caodaism|PEOPLE:Caodaist; followers of Caodaism},,Cao-Đài religion,'kawtayfitilip
Christianity {GENITIVE:Christian; of Christianity|PEOPLE:Christian; followers of Christ},,Christ-(title) religion,'kilistosfitilip
Greek Orthodoxy; Orthodox Catholicism; Eastern Orthodoxy,,Greek Christianity,'elin'kilistosfitilip
Han folk religion; Chinese folk religion,,Han religion,'hanfitilip
Hinduism {PEOPLE:Hindu; followers of Hinduism},,India religion,'hintufitilip
Judaism {PEOPLE:Jew; religious Jew; followers of Judaism},,Jew religion,'yehutimfitilip
Jainism,,Jain religion,'cenfitilip
Roman Catholicism; Catholicism,,Rome Christianity,'loma'kilistosfitilip
Shaivism {GENITIVE:Shaiva; of Shaivism|PEOPLE:Shaivite; Saivite; followers of Shiva},,Shiva religion,'ciwafitilip
Shaktism {GENITIVE:Shakta; of Shaktism|PEOPLE:Shaktist; followers of Shakti},,Shakti religion,'caktifitilip
Sikhism; Sikhi,,Sikh religion,'sikfitilip
Smartism; Smarta tradition {GENITIVE:Smarta; of Smartism|PEOPLE:Smartism; followers of Smriti},,Smriti religion,'samlitifitilip
Spiritualism {GENITIVE:Spiritualist; of Spiritualism|PEOPLE:Spiritualist; followers of Spiritualism},,spirit-(Spiritualism) religion,'sipiwitfitilip
Daoism; Taoism {GENITIVE:Daoist; Taoist; of Daoism|PEOPLE:Daoist; Taoist; followers of Dao},,Dao religion,'tawfitilip
Vaishnavism {GENITIVE:Vaishnist; of Vaishnavism|PEOPLE:Vaishnava; Vaishnavite; followers of Vishnu},,Vishnu religion,'wicnufitilip
Zoroastrianism; Mazdayasna {GENITIVE:Zoroastrian; Zarathustrian; of Zoroastrianism|PEOPLE:Zoroastrian; Zarathustrian; followers of Zoroastrianism},,Ahura-Mazda religion,'mastafitilip
